,id,MetadataSubject,MetadataTo,SenderPersonId,MetadataDateSent,MetadataDateReleased,MetadataCaseNumber,MetadataDocumentClass,ExtractedBodyText
1,2,1,0,1.0,1,0,0,0,"B6,  : Latest ow Syria is aiding Qaddafi and more... Sidhrc memo syria aiding libya 030311.docx; hrc memo syria aiding libya 030311.docx 3, 2011For: illary"
2,3,2,0,2.0,0,0,0,0,Thx
4,5,1,1,3.0,2,0,0,0," ,  uma Abedin : Latest: ow Syria is aiding Qaddafi and more... Sidhrc memo syria aiding libya 030311.docxPis print."
5,6,4,2,3.0,0,0,0,0,"Pis print.-•-...-^ ,  °Russorv@state.gov' Meet The Right-Wing Extremist Behind Anti-fvluslim Film That Sparked Deadly Riots [meat) ,  : 11 Meet The Right Wing Extremist Behind Anti-Muslim Film That Sparked Deadly Riotshtte/maxbiumenthal.com12012/09/meet-the-right-wing-extremist-behind-anti-musiim-tihn-that-sparked-deadly-riots/Sent from my Verizon Wireless 4G LTE DROID of State  : 05/13/2015. - PRODUCED TO OUSE SELECT BENGAZI COMM. AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-5CB0045251"
7,8,1,1,3.0,2,0,0,0," ,  uma Abedin : Latest: ow Syria is aiding Qaddafi and more... Sidhrc memo Syria aiding libya 030311.docxPis print."
8,9,6,0,0.0,0,0,0,0,FYI
9,10,7,0,1.0,0,0,0,0,"B6,  Fwd: more on libyaLibya 37 sept 12 12.docxSending direct. Just in.Sent from my Verizon Wireless 4G LTE DRUID"
10,11,8,0,0.0,3,0,0,0,FyiB6— —
11,12,7,0,1.0,0,0,0,0,"B6,  Fwd: more on libyaLibya 37 sept 12 12.docxSending direct. Just in.Sent from my Verizon Wireless 4G LTE DRUID"
12,13,9,0,0.0,0,0,0,0,Fyi
